Radical number,Radical,Pinyin,Meaning,Strokes,Traditional,Examples
1,一,yī,One,1,,丁 万 上 下
2,丨,gǔn,Vertical Line,1,,个 中 丰 串 临
3,丶,zhǔ,Dot,1,,丸 义 丹 为 主
4,丿,piě,Slash,1,,乂 乃 乎
4,乀,piě,Slash,1,,飞
4,乁,piě,Slash,1,,
5,乙,yǐ,Second,1,,九 乞 
5,乚,yǐ,Second,1,,乩 乱
6,亅,jué,Hook,1,,了 争 事
7,二,èr,Two,2,,亍 于 云 五 亚
8,亠,tóu,Lid,2,,亡 亢 交 产 京
9,人 ,rén,Person,2,,众丛
9, 亻,rén,Person,2,,你 他 仕 仙 例
10,儿,rén,Child / Legs,2,,兀 元 兄 先 克
11,入,rù,Enter,2,,內 全 氽
12,八 ,bā,Eight,2,,兮 公  兴
12,丷,bā,Eight,2,,兰 关
13,冂,jiōng,Down box,2,,内 冋 再 冏 最
14,冖,mì,Cover,2,,写 军 农
15,冫,bīng,Ice,2,,冰 况 冼 凊
16,几,jǐ,Table,2,,凡 凤
17,凵,qiǎn,Open box,2,,凶 凸 凹 出 击
18,刂 ,dāo,Knife,2,,划 刚
18,刁,dāo,Knife,2,,
18,刀,dāo,Knife,2,,刅 分 切 
19,力,lì,Strength / Power,2,,劝 办 加 务 动
20,勹,bāo,Wrap / embrace,2,,勺 勾 匀 包
21,匕,bǐ,Dagger,2,,化 北 匙
22,匚,fāng,Right open box,2,,匛 匤 匡 匢 匜
23,匸,xì,Hiding enclosure,2,,匹 区 医 匼
24,十,shí,Ten,2,,千 升 午 半
25,卜,bǔ,Divination,2,,卟 占 卡 卢 卤
26,卩,jié,Seal/Joint,2,,卫 卬 卯 印 却
26,㔾,jié,Seal ,2,,
27,厂,hǎn,yard / factory,2,,厄 厅 历 厉
28,厶,mǒu/sī,Private,2,,去 县 参
29,又,yòu,Right Hand / Again,2,,叉 友 双 发 受
30,口,kǒu,Mouth / Opening,3,,吃 叹 品 吵 叫
31,囗,wéi,Enclosure / boundary,3,,围 团 国 囚 困
32,土,tǔ,Earth / Soil,3,,在 地 城 地 型
33,士,shì,Soldier / Scholar,3,,壮 仕 壬 声 志
34,夂,zhǐ,Go,3,,处 复 备 冬
35,夊,suī,Go slowly,3,,夌 复 変
36,夕,xī,Night / sunset,3,,外 多 夜 夠
37,大,dà,Big,3,,天 太 夫 央 头
38,女,nǚ,Woman / Female,3,,妈 好 始 姓 安
39,子,zǐ,Child / Son / seed,3,,孔 字 季 学 孩
40,宀,mián,Roof,3,,宁 它 安 定 容
41,寸,cùn,Inch,3,,对 寺 寻 寿 导
42,小,xiǎo,Small / insignificant,3,,少 尔
42,⺌,xiǎo,Small,3,, 尚 尝
42,⺍,xiǎo,Small,3,,学觉
43,尢,wāng,Lame,3,,尤 尧 就 尴 尬
44,尸,shī,Corpse,3,,尼 尽 局 居 层
45,屮,chè,Sprout,3,,屯 屰
46,山,shān,Mountain / Hill,3,,岀 峰 岁 岛 岳
47,川 ,chuān,River,3,,州
47,巛,chuān,River,3,, 巡 巢
48,工,gōng,Work,3,,左 巧 巩 巫
49,己,jǐ,Self,3,,纪 记 忌 改
50,巾,jīn,Towel,3,,巿 币 市 师
51,干,gān/gàn,Dry / Do,3,,平 年 并 幸
52,幺,yāo,Youngest / Small,3,,幻 幼 幽
53,广,guǎng,Shelter / wide,3,,座 庄 床 店
54,廴,yǐn,Stride / structure,3,,延 廷 建
55,廾,gǒng,Hands joined,3,,开 异 弃 弄
56,弋,yì,Shoot with a bow,3,,式 弑
57,弓,gōng,Bow,3,,弟 引 张 弘 弯
58,彐 ,jì,Snout,3,,归 当 录 
58,彑,jì,Snout,3,,彖
59,彡,shān,Hair / ornament,3,,形 彦 彩 影
60,彳,chì,Step,3,,行 徐 律 很 往
61,忄,xīn,Mental / feeling,3,, 忙 快 忆
61,心 ,xīn,Heart / Mind,4,,必  忘
62,戈,gē,Spear,4,,我 成 戒 战 或
63,户,hù,Door / house,4,,房 扁 扇 扉
63,戶,hù,Door,4,,所 
64,扌,shǒu,Hand,3,,扔 扬 扛 扱 抱
64,手,shǒu,Hand,4,,拿
65,支,zhī,Branch,4,,攰 攱 攲
66,攴,pū,Rap/Beat,4,,
66,攵,pū,Rap/Beat,4,,收 改 政 故 敌
67,文,wén,Script / literature,4,,齐 斌 斑 斓 斋
68,斗,dǒu,Vessel / Struggle,4,,料 斛 斟 斜
69,斤,jīn,Axe / pound,4,,斧 断 斯 新 斩
70,方,fāng,Square,4,,施 旁 旋 旅 旗
71,无,wú,Not / None,4,,芜
71,旡,jì,Choke on something eaten,4,,既
72,日,rì,Sun / Day / Time,4,,时 早 明 是 晩
73,曰,yuē,Say,4,,曲 更 曾
,,,,,,
,,,,,,
75,朩,mù,Tree,4,,相 根 
75,木,mù,Tree / Wood / Plant,4,,森 林  本
76,欠,qiàn,Lack,4,,次 欢 欣 歆 欲
77,止,zhǐ,Stop,4,,正 此 步 武 歧
78,歹,dǎi,Death / decay,4,,死 歾 殃 殉 殆
79,殳,shū,Weapon,4,,段 殷 殴
80,母,mǔ,Mother,5,,每 毒
81,比,bǐ,Compare / compete,5,,毕 庇 毙
82,毛,máo,Hair / Fur,4,,毫 毡 笔 毯 毫
83,氏,shì,Clan,4,,民 氓
84,气,qì,Gas / Steam / breath,4,,氲 氧 氢
85,氵,shuǐ,Water,3,,海 河 湖 江 洗 泳
85,水,shuǐ,Water / Liquid,4,,永
85,氺,shuǐ,Water,5,,承
86,火,huǒ,Fire,4,,灯 炎 
86, 灬,huǒ,Fire,4,,热 点 然
87,爪 ,zhǎo,Claw,4,,爬 
87,爫,zhuǎ,Claw,4,,爱
88,父,fù,Father,4,,爷 爸
89,爻,yáo,Lines on a trigram,4,,爼 爽
90,爿,pán,Half of a tree trunk,4,,牀
91,片,qiáng,Slice,4,,版 牌
92,牙,yá,Tooth,4,,邪
93,牛,niú,Cow,4,,牟
93, 牜,niú,Cow,4,, 牤 牧 物 牲
93,⺧,niú,Cow,4,,告靠
94,犭,quǎn,Animal,3,,犯 犷 狂 狗
94,犬,quǎn,Dog,4,,哭吠
95,玄,xuán,Profound,5,,率 玆
96,王,wáng ,King ,4,,珍 现 琴 莹 玺
96,玉,yù,Jade,5,,珍 现 琴 莹 玺
97,瓜,guā,Melon,5,,瓢 瓣
98,瓦,wǎ,Tile,4,,瓶 瓷 瓮
99,甘,gān,Sweet,5,,甚 甜 某
100,生,shēng,Life,5,,甠 甡 甥
101,用,yòng,Use,5,,甬 甭 甫
102,田,tián,Field,5,,男 甸 画 畅 界
103,疋,pǐ,Foot,5,,胥 疍 
103, 𤴔,pǐ,Foot,5,,疏 疎
104,疒,nè,Sick,5,,病 疔 疤 疫 疯
105,癶,bō,Unbalanced footsteps,5,,癷 癸 登
106,白,bái,White,5,,百 的 皇 皁 皓
107,皮,pí,Skin,5,,皱 皲
108,皿,mǐn,Dish / receptacle,5,,盂 益 盆 监 盈
109,目,mù,Eye,5,,盯 相 盲 看 眠
110,矛,máo,Spear,5,,矜 䂊
111,矢,shǐ,Arrow,5,,矣 知 矩 矫 矬
112,石,shí,Stone,5,,码 破 硌 硏 硬
113,礻,shì,Spirit,4,,礼 社 视
113,示,shì,Spirit,5,, 禁 祭
114,禸,róu,Rub,4,,禹 禺 离
115,禾,hé,Grain,5,,秀 秋 种 秒 租
116,穴,xué,Cave,5,,穷 究 空 穿 突
117,立,lì,Stand,5,,站 竞 章 竖 端
118,⺮ ,zhú,Bamboo,6,,笑 笛 第 竿 等
118,竹,zhú,Bamboo,6,,笑 笛 第 竿 等
119,米,mǐ,Rice,6,,粮 类 粉 粤 籽
120,纟,sī,Silk / Thread,3,糹 ,红 纪 组 
120,糸 ,sī,Silk / Relation,6,,系 紧
121,缶,fǒu,Jar,6,,缺 缸 罂
122,网,wǎng,Net,6,,
122,罒,wǎng,Net,5,,罗 罚 罢 罪
122,罓,wǎng,Net,4,,
123,羊,yáng,Sheep,6,,群 羚
123,⺶,yáng,Sheep,6,,着 羞
123,⺷,yáng,Sheep,6,,美
124,羽,yǔ,Feather,6,,翠 翁 耀 翔
125,耂,lǎo,Old,4,,者 考
125,老,lǎo,Old / Senior,4,,耄
126,而,ér,And,6,,耍 耐
127,耒,lěi,Plaw,6,,耔 耗 耕 耘
128,耳,ěr,Ear,6,,聊 聆 聒 联 耿
129,聿,yù,Brush,6,,肃 肆 肄 肇
130,月,Ròu / yuè,Meat / Moon / Month,4,,肖 肘 肚 服 朋 青 朝 明
130,肉,ròu,Flesh,6,,腐
131,臣,chén,Minister,6,,卧 藏
132,自,zì,Oneself / Self,6,,臬 臭
133,至,zhì,Arrive / Reach,6,,致 臻
134,臼,jiù,Mortar,6,,臾 舀 舂
135,舌,shé,Tongue,6,,舍 舐 舔
136,舛,chuǎn,Contrary,7,,舜
137,舟,zhōu,Boat / Ship,6,,航 船 般 舱 舫
138,艮,gèn,Mountain,6,,良 艰 根 跟
139,色,sè,Color,6,,艳
140,艹,cǎo,Grass,3,,花 菜 茶 茬 草
141,虍,hū,Stripes on a tiger,6,,虏 虎 虐 虔 虑
142,虫,chóng,Insect,6,,蛇 蚊 蛋 蚤 蚀
143,血,xuè,Blood,6,,恤 衅
144,行,xíng,Walk,6,,衍 衔 街
145,衤,yī,Clothes,5,,袓  袄
145,衣,yī,Clothes,6,,表 袋  衷 
146,覀,yà,Cover,6,,要 覆 覃
146,西 ,xi,west,6,,
147,见,jiàn,See,4,見 ,观 规 觉 览
148,角,jiǎo,Horn,7,,解 触
149,讠,yán,Speech,2,訁 ,计 讨 记 讲 识
149,言,yán,Speech / Language,7,,
150,谷,gǔ,Valley / Grain,7,,豁
151,豆,dòu,Bean,7,,豌 豉
152,豕,shǐ,Pig,7,,豚 豪 象
153,豸,zhì,Legless insect,7,,豹 豺 貌
154,贝,bèi,Shell,4,貝 ,贞 负 贡 责 财
155,赤,chì,Red,7,,赦 赫
156,走,zǒu,Walk,7,,赶 起 超 越
157,足,zú,Foot,7,,跃 跑 路 跳
158,身,shēn,Body,7,,躬 躺 躲
159,车,chē,Vehicle / Car / Cart,4,車 ,轧 轨 软 轮 轻
160,辛,xīn,Bitter,7,,辜 辣 辞 辟
161,辰,chén,Day time,7,,晨 辱 振 震
162,辶,chuò,Walk,3,,边 达 过 运 远
163,阝,yì,Terrain / hill / city / town,3,,那 邦 邮 郊 邕
163,邑,yì,City,7,,那 邦 邮 郊 邕
164,酉,yǒu,Wine vessel,7,,酒 酱 酷
165,釆,biàn,Collect,7,,采 釉 释
166,里,lǐ,Mile / Inside,7,,重 野 量
167,钅,jīn,Metal,5,釒 ,银 钉 钟 钥 
167,金,jīn,Metal / Gold,8,, 鉴鑫
168,长,cháng,Long / Grow,4,長 ,张 帐 账
169,门,mén,Gate,3,門 ,间 闪 闯 闭 闹
170,阜,fù,Mound,8,,
170,⻏,fù,Mound,3,,陡 陆 防 际 队
171,隶,lì,Slave,8,,
172,隹,zhuī,Short-tailed bird,8,,难 雀 集 雇
173,雨,yǔ,Rain,8,,雪 零 雷 雾
174,青,qīng,Blue/Green,8,,靓 靖 静
175,非,fēi,Wrong / Negate,8,,靠 靡
176,面,miàn,Face,9,,靥 腼
177,革,gé,Leather,9,,靴 鞋
178,韦,wěi,Soft leather,4,,韧 韩 韫
179,韭,jiǔ,Leek,9,,瀣
180,音,yīn,Sound,9,,章 竟 歆 韵
181,页,yè,Page,6,頁 ,顶 项 须 顺
182,风,fēng,Wind,4,風 ,飒 飓 飘
183,飞,fēi,Fly,3,飛 ,-
184,食,shí,Eat / Food,9,, 餐
184, 饣,shí,Eat,3,飠 ,饥 饮 饱 饰 
185,首,shǒu,Head,9,,馗
186,香,xiāng,Fragrant,9,,馥 馨
187,马,mǎ,Horse,3,馬 ,驰 驹 骂 骇 驳
188,骨,gǔ,Bone,9,,骸 骷 骰
189,高,gāo,High/Tall,10,髙 ,髚
190,髟,biāo,Long hair,10,,髦 鬃 鬓
191,鬥,dòu,Fight,10,,鬧 鬦
192,鬯,chàng,Sacrificial wine,,,-
193,鬲,lì,Cauldron,10,,鬳 鬴 鬵 鬷
194,鬼,guǐ,Ghost,9,,魂 魄 魅
195,鱼,yú,Fish,8,魚 ,鲜 鲈 鲑
196,鸟,niǎo,Bird,5,鳥 ,鸡 鸦 鸭
197,卤,lǔ,Brine,7,,
198,鹿,lù,Deer,12,,麒 麓 麋
199,麦,mai,Wheat,7,,麸
200,麻,má,Hemp,11,,麾 磨 魔
201,黄,huáng,Yellow,11,,横 磺 簧
202,黍,shǔ,Millet,12,,黎 黏
203,黑,hēi,Black,12,,墨 黔 默 黛
204,黹,zhǐ,Embroidery,12,,
205,黾,měng,Frog,8,,鼋
206,鼎,dǐng,Tripod,11,,
207,鼓,gǔ,Drum,13,,
208,鼠,shǔ,Rat,13,,
209,鼻,bí,Nose,14,,鼾 齁
210,齐,qí,Neat,6,,挤 剂 济
211,齿,chǐ,Tooth,8,,龄 龅
212,龙,lóng,Dragon,5,,龚 笼 珑
213,龟,guī,Turtle,7,,
214,龠,yuè,Flute,,,
